Employee_ID,Effective_Date,Salary_Grade,Stock_Options,Last_Promotion_Date,Base_Salary,Bonus,Total_Compensation
E-00033,2021-04-30 15:02:18.149460938,D,488,2021-07-17,24140064.204947136,2024240.907945922,26652305.11289306
E-00034,2023-02-22 17:17:10.032134739,C,987,2020-04-17,18822600.536026683,2133909.988982257,21943510.52500894
E-00035,2013-03-08 12:30:28.455851409,D,143,2019-12-12,22065169.498832755,4302215.673578473,26510385.172411226
E-00036,2021-02-10 10:49:22.621663286,A,303,2019-09-11,9119917.104632404,1238145.451222728,10661062.555855133
E-00037,2018-01-16 04:20:39.854045013,C,403,2019-06-01,21682666.862852287,2863966.526670383,24949633.389522668
E-00038,2020-05-01 13:54:48.416017578,A,967,2022-12-14,12452576.538997749,1169480.2865153276,14589056.825513076
E-00039,2016-07-04 07:17:08.909334899,A,98,2019-06-02,15731549.022289513,1094766.5841823574,16924315.60647187
E-00040,2023-02-18 00:39:46.636862146,A,995,2019-06-10,11990286.11069794,923335.3387468193,13908621.44944476
E-00041,2016-07-17 14:56:23.667456603,C,400,2020-10-01,14529435.6400825,3087517.1114569856,18016952.751539487
E-00042,2015-04-17 10:41:19.848299573,E,562,2020-03-13,29154608.6731959,5872161.859353454,35588770.53254935
E-00043,2018-06-02 19:48:46.797795540,A,283,2021-05-28,9187189.465636902,993094.0687810383,10463283.53441794
E-00044,2024-06-02 13:12:23.158157325,C,515,2020-06-30,17953666.720872026,3114359.2230687137,21583025.94394074
E-00045,2022-08-20 04:05:43.638776965,C,891,2023-11-04,17489580.8228745,3204954.48356923,21585535.306443732
E-00046,2019-08-17 06:02:26.192952936,C,699,2021-09-19,17130172.092383903,2714845.5909597147,20544017.68334362
E-00047,2020-01-25 06:17:57.724020034,A,255,2022-09-08,12428187.488260407,750852.2442576024,13434039.73251801
E-00048,2024-07-02 08:12:17.821936321,B,322,2020-11-16,15692861.168835398,1676425.2434438556,17691286.412279252
E-00049,2024-08-03 21:11:24.741595920,B,638,2019-06-04,11923500.390839532,1526784.1554659791,14088284.546305511
E-00050,2024-04-15 07:40:04.360979213,A,810,2019-09-03,9244661.264085818,812434.9920169754,10867096.256102793
E-00051,2020-07-19 02:26:21.341406658,C,817,2021-07-09,15068195.459825106,3117207.8835281837,19002403.34335329
E-00052,2015-04-19 05:02:51.202191214,D,684,2019-01-20,28654406.63986043,4790562.088403289,34128968.72826372
E-00053,2018-10-06 05:58:33.975567675,D,882,2020-04-15,22341756.255519144,3672472.935542754,26896229.1910619
E-00054,2014-09-26 14:18:16.541822528,C,664,2023-09-18,10846013.980078014,3214382.7251619804,14724396.705239994
E-00055,2018-02-11 08:44:09.970133832,A,691,2020-11-12,11056136.268421132,1217790.1193934733,12964926.387814606
E-00056,2018-09-27 00:21:24.049935570,A,263,2021-12-12,14420797.266273277,969752.8069015541,15653550.07317483
E-00057,2013-11-20 17:58:24.264920233,C,822,2021-07-24,9899429.653369572,3111872.5888616564,13833302.242231227
E-00058,2011-01-14 21:38:53.798950431,C,603,2021-12-17,14912723.68897298,3996781.0383648924,19512504.72733787
E-00059,2019-10-13 09:48:36.540489032,A,750,2021-03-12,11361289.844370443,959076.6989044823,13070366.543274926
E-00060,2010-10-31 09:35:21.271784115,E,884,2021-06-15,42732937.1820758,6032465.260551147,49649402.442626946
E-00061,2014-07-18 17:58:26.115555002,D,153,2023-08-07,18599978.32941029,3789275.3241061815,22542253.65351647
E-00062,2022-11-15 16:13:19.061491272,D,452,2022-05-12,19253735.46317849,4877437.003553123,24583172.46673161
E-00063,2023-10-22 13:52:32.748807929,E,22,2023-11-21,39258405.9111545,6323263.807151237,45603669.71830574
E-00064,2020-10-10 17:34:18.865012410,B,761,2023-08-10,18489491.25646488,2004093.224407835,21254584.480872713
E-00065,2020-12-27 13:11:38.258772529,D,15,2021-03-02,23720340.657010112,4740986.0343080275,28476326.69131814
E-00066,2014-06-26 16:31:46.499199720,D,689,2023-08-26,18924331.611143347,5689054.113293001,25302385.72443635
E-00067,2021-12-08 12:44:41.466040580,E,267,2023-05-20,31685951.206410196,4377300.480179407,36330251.6865896
E-00068,2012-01-03 16:36:48.950903061,E,921,2021-08-27,26266577.010562327,4644511.35908364,31832088.369645968
E-00069,2018-02-17 01:13:48.127490094,E,74,2020-02-17,29459528.20091876,4494119.946765706,34027648.14768447
E-00070,2021-11-10 03:24:46.276071468,D,393,2020-04-01,31352119.489077587,5350413.625895131,37095533.11497272
E-00071,2023-09-22 22:28:56.632827204,D,977,2021-10-05,18653986.359093934,4929549.85419742,24560536.213291354
E-00072,2024-08-21 19:02:38.207378854,E,779,2022-10-24,36866229.2128481,5857864.658788466,43503093.87163656
E-00073,2020-03-31 01:25:20.309091191,A,880,2019-03-03,7086813.708453211,984693.5877296907,8951507.2961829
E-00074,2023-02-11 16:21:13.190734067,C,176,2023-06-24,16915838.15084583,2632143.1902549732,19723981.341100805
E-00075,2022-01-03 23:29:48.094393461,D,850,2023-03-10,17908896.583832636,5673909.820548369,24432806.404381007
E-00076,2018-07-17 07:44:57.813068431,A,947,2021-06-09,11314822.263538707,1049862.908324391,13311685.171863098
E-00077,2016-11-09 17:25:14.289673073,B,934,2020-02-02,8729946.754109161,2708172.6066266876,12372119.360735849
E-00078,2020-08-31 19:07:04.785868144,C,842,2020-10-19,18360290.347926646,3049638.261480287,22251928.609406933
E-00079,2023-11-27 21:47:04.492491751,E,167,2019-06-19,35317211.79677625,4766296.820685995,40250508.61746225
E-00080,2014-09-19 06:35:40.215845316,E,164,2022-12-16,36926126.03045354,4522618.269424679,41612744.29987822
E-00081,2019-12-03 15:52:37.565399607,A,300,2022-03-01,14653007.774873547,809121.9742854009,15762129.749158949
E-00082,2017-05-25 07:20:50.339360895,D,181,2019-06-16,26288298.116010096,3872049.1760292584,30341347.292039353
E-00083,2018-03-13 04:49:05.136950098,C,172,2020-10-14,23774988.838743046,1851055.5782342867,25798044.41697733
E-00084,2024-04-17 14:02:58.109518935,E,894,2022-10-16,35041026.95567055,6133342.025069074,42068368.98073962
E-00085,2019-10-18 06:17:48.865246699,A,190,2023-03-12,13380287.983422225,919755.9056228327,14490043.889045058
E-00086,2022-01-17 03:34:48.666606311,B,555,2020-11-15,15208957.993556637,2393401.722543386,18157359.716100022
E-00087,2022-06-12 04:26:30.175277170,E,675,2022-06-04,27168481.552259155,5217206.477893065,33060688.03015222
E-00088,2010-07-12 16:47:18.189125228,A,525,2022-03-12,16306364.915023113,846530.4874223901,17677895.402445503
E-00089,2015-02-26 08:53:12.634000168,A,970,2021-11-01,10248876.423936078,953030.3332821385,12171906.757218217
E-00090,2012-07-08 17:59:20.255575498,B,347,2020-11-06,8628312.827070579,1789697.9913276955,10765010.818398274
E-00091,2023-10-27 18:34:53.645161031,D,868,2019-02-10,20383136.00498399,2671906.0635549333,23923042.068538927
E-00092,2017-12-09 16:50:58.931805191,A,928,2023-10-14,8970850.312367525,1135931.9338326838,11034782.24620021
E-00093,2021-01-19 00:01:26.178720630,C,252,2020-01-25,12719067.171917431,4098875.259512612,17069942.43143004
E-00094,2022-06-23 20:37:13.346091611,B,250,2021-05-26,14070770.689552184,1532073.1871315963,15852843.87668378
E-00095,2020-10-28 06:12:51.156822737,B,223,2022-06-16,15886432.57326955,1561061.6525733366,17670494.225842886
E-00096,2022-04-01 11:09:11.528449974,C,794,2020-11-19,17541840.618989527,3742689.7871840773,22078530.406173605
E-00097,2019-02-17 07:24:38.787597970,A,404,2021-04-02,12518778.617999388,1060469.6580663286,13983248.276065717
E-00098,2024-10-10 17:34:33.093626202,C,436,2021-11-12,16199738.114083026,3373709.9594084993,20009448.073491525
E-00099,2014-06-11 13:44:01.505860801,A,50,2020-11-15,9262819.768916287,1107098.361995041,10419918.130911328
E-00100,2023-12-17 18:37:30.524938426,B,347,2019-04-05,15996942.035938775,1700605.3853773787,18044547.421316154
E-00101,2023-01-03 07:30:51.498394625,C,890,2022-08-22,18679891.611629233,3691947.1118570734,23261838.723486304
E-00102,2023-08-05 03:21:25.060184375,C,824,2020-02-05,20581503.79834059,3821178.934519409,25226682.73286
E-00103,2014-01-20 13:01:30.690679142,C,102,2022-12-16,18812454.191786025,3029743.6375796427,21944197.829365667
E-00104,2021-07-20 06:20:11.085194408,B,797,2022-09-20,17658190.68073846,1945168.8715832587,20400359.552321717
E-00105,2019-07-25 06:15:37.600034045,A,983,2022-09-20,15257231.091142584,723979.7083570217,16964210.799499605
E-00106,2020-12-23 14:48:59.401950560,E,796,2021-06-18,37272938.59935061,4855950.70172548,42924889.30107609
E-00107,2024-04-29 15:49:51.642957328,D,983,2019-03-10,21969004.30163064,4322495.461668462,27274499.7632991
E-00108,2012-12-22 19:51:16.418432450,C,42,2023-11-11,19940376.446453102,1762484.5956529502,21744861.04210605
E-00109,2011-07-25 06:31:29.998958067,C,373,2023-03-24,20240902.843882877,2452723.0460343007,23066625.88991718
E-00110,2015-03-15 22:46:45.470421617,C,666,2019-04-03,18304192.15958554,3211775.985323341,22181968.14490888
E-00111,2022-02-15 14:42:29.648841436,E,4,2023-01-29,25107005.56026907,4440974.506766143,29551980.067035213
E-00112,2014-04-28 13:24:04.723255010,A,644,2019-08-21,13572067.911424166,942571.9805153229,15158639.89193949
E-00113,2019-10-15 22:02:34.796707845,B,812,2022-01-01,14875121.897139227,1639953.7367704348,17327075.63390966
E-00114,2022-09-29 08:55:58.657085099,C,830,2019-02-17,17550687.80123668,2867418.240280066,21248106.041516747
E-00115,2023-01-07 21:19:45.689526502,A,866,2022-06-30,12047502.963995494,1063127.1953362478,13976630.159331743
E-00116,2014-03-31 08:07:26.005277227,B,27,2019-03-19,19934903.14050385,1900385.5841774486,21862288.7246813
E-00117,2013-04-25 21:39:28.743152146,C,6,2021-10-23,18114482.238271303,3581173.893782653,21701656.132053956
E-00118,2022-01-14 16:02:56.385921056,E,273,2023-03-10,22981389.39704946,3340908.411612343,26595297.808661804
E-00119,2013-04-28 19:53:57.860098525,E,27,2020-12-14,37137598.68770849,5223336.158696355,42387934.84640484
E-00120,2011-07-09 02:27:27.340910999,D,536,2019-05-25,20251081.19521574,2311440.3830798576,23098521.578295596
E-00121,2022-05-21 00:10:38.480547990,A,108,2022-03-15,12154736.615295237,827743.1597343473,13090479.775029585
E-00122,2023-04-01 08:45:19.289062255,A,747,2020-08-17,8953847.522239294,772826.9004985506,10473674.422737844
E-00123,2014-08-15 18:05:06.704911181,B,442,2019-11-11,15083072.794848638,2050946.1914148624,17576018.9862635
E-00124,2023-04-08 21:15:20.524703376,E,709,2023-05-25,26096144.585269038,4512874.616235304,31318019.201504342
E-00125,2020-01-01 07:16:45.456281033,A,758,2021-06-17,6994480.9566755695,1136928.4403110337,8889409.396986604
E-00126,2022-11-12 03:04:13.886179895,B,467,2023-10-22,14973628.331089932,2180564.4794589994,17621192.81054893
E-00127,2020-01-17 09:03:08.036681350,A,193,2021-04-26,8507676.882677618,1523339.9893203187,10224016.871997938
E-00128,2023-12-20 16:48:31.071688628,E,325,2022-12-04,25420445.060744897,3195117.899335481,28940562.960080378
E-00129,2022-11-23 06:40:24.387622553,A,139,2020-07-12,13974986.011401445,1152840.8776003816,15266826.889001826
E-00130,2013-04-17 01:40:02.215891715,C,510,2021-04-24,15392655.568791363,3028439.202789848,18931094.77158121
E-00131,2021-12-02 01:24:39.111855234,B,260,2023-08-01,13194093.963310845,2304100.4378541443,15758194.40116499
E-00132,2020-08-03 12:03:51.802610508,A,776,2021-06-29,7056710.999745421,840620.9489059047,8673331.948651325
E-00133,2021-12-14 02:00:44.550244361,A,580,2019-11-14,10880516.050543455,1301005.0229321641,12761521.07347562
E-00134,2019-04-21 02:32:33.197518840,C,136,2020-08-10,20672403.80702685,2886475.404302594,23694879.21132944
E-00135,2021-05-18 03:30:42.470129378,D,831,2022-10-04,23688013.31037601,3670498.427102026,28189511.737478036
E-00136,2023-05-26 00:13:14.495876088,C,724,2022-04-03,20173932.611855112,3620952.5562483594,24518885.16810347
E-00137,2022-01-12 12:58:46.972002471,D,600,2023-11-08,30546462.47364811,4659920.148902987,35806382.6225511
E-00138,2017-03-23 20:37:21.662552884,C,636,2020-02-26,8694593.146000892,3906481.9308687155,13237075.076869607
E-00139,2017-10-22 00:07:27.112758919,A,224,2021-10-03,13658811.162366979,557772.938198423,14440584.100565402
E-00140,2023-02-18 06:28:58.228513714,C,38,2019-07-17,18660777.52048231,3341362.004681785,22040139.525164094
E-00141,2023-01-15 06:04:50.794626365,D,14,2023-07-05,25163909.330531426,5816554.286243517,30994463.616774943
E-00142,2019-08-28 06:30:39.373493486,D,156,2020-07-03,26140767.451950528,4807915.968839728,31104683.420790255
E-00143,2023-04-24 22:06:37.646298042,A,253,2019-07-15,15019542.624919247,1080406.8960093844,16352949.52092863
E-00144,2016-10-16 08:44:24.285261214,A,117,2021-03-16,7510394.184585381,1135161.7460088162,8762555.930594198
E-00145,2022-05-14 04:43:00.638193039,D,695,2019-01-15,19778533.699619442,4301840.394435882,24775374.094055325
E-00146,2014-12-21 18:28:23.503831210,D,684,2019-05-10,22136323.52409439,3891919.7536680503,26712243.277762443
E-00147,2014-06-21 03:13:01.945187621,B,810,2022-07-30,11824843.791458843,1794834.2500114338,14429678.041470278
E-00148,2024-06-07 07:04:25.812620468,B,301,2019-12-29,15839905.87895946,1549804.3810806493,17690710.260040108
E-00149,2016-11-30 13:34:29.986895676,A,992,2023-07-05,13286707.862108141,1312940.9169867057,15591648.779094847
E-00150,2019-06-22 03:25:28.478351509,D,132,2021-06-06,18986760.973473422,5041479.334528076,24160240.3080015
E-00151,2011-10-05 16:56:14.950388275,C,28,2023-01-25,14041580.718965676,2924527.847940211,16994108.566905886
E-00152,2023-11-12 20:47:36.538353345,D,181,2021-09-09,34693455.50868744,4419162.133686235,39293617.64237367
E-00153,2021-07-10 05:06:03.297130919,A,308,2022-03-06,13232431.633936122,873917.4751940732,14414349.109130194
E-00154,2023-04-23 06:20:12.311993287,C,574,2019-09-01,21292682.335847657,3043990.7803130425,24910673.1161607
E-00155,2016-06-12 17:11:52.416827332,B,474,2020-02-22,15484059.677636709,2310189.0289955656,18268248.706632275
E-00156,2010-10-13 02:04:33.616751472,C,178,2022-04-20,17973386.18147505,2208512.9728788333,20359899.154353883
E-00157,2022-10-04 20:04:39.170909602,A,176,2019-10-12,15697912.18989069,1225313.0059095514,17099225.19580024
E-00158,2016-09-09 06:39:11.711066742,E,48,2021-08-24,29777784.517685294,5429448.24538367,35255232.76306897
E-00159,2023-04-05 23:14:50.566806251,D,62,2023-09-21,19108430.385363497,3271553.724208096,22441984.10957159
E-00160,2015-08-13 19:57:35.187585053,C,890,2021-08-09,17540623.922067907,3093021.974157311,21523645.896225218
E-00161,2018-05-04 11:45:01.694172659,E,476,2019-10-13,31818633.996603474,6166500.829925106,38461134.82652858
E-00162,2016-01-29 10:15:22.456603474,C,174,2021-10-06,7396120.766427953,3654904.111153477,11225024.877581429
E-00163,2021-04-25 23:33:26.040294011,C,830,2023-07-26,19159369.05667387,2847107.238976581,22836476.295650452
E-00164,2024-06-14 06:24:13.336932720,B,457,2019-06-11,13914327.08630099,1972164.070834796,16343491.157135785
E-00165,2014-08-31 00:51:45.437190427,B,390,2022-10-04,18666610.03862381,1130270.574365341,20186880.61298915
E-00166,2022-04-23 20:35:13.081700353,C,766,2019-11-24,18394983.11054934,2921792.9124076753,22082776.022957012
E-00167,2019-03-27 17:53:03.029114508,A,603,2021-10-03,13723930.170120312,1124679.8877832703,15451610.057903582
E-00168,2019-03-28 07:36:05.086834899,C,911,2020-03-27,11226935.301160842,2459680.268887714,14597615.570048556
E-00169,2015-02-10 00:36:37.555591152,B,774,2023-08-24,15978399.066726353,1499554.5694458787,18251953.63617223
E-00170,2019-11-24 04:01:38.531226665,B,896,2021-03-25,10504021.795479136,2455663.029144671,13855684.824623806
E-00171,2022-09-25 14:27:37.126477687,C,470,2022-02-16,21025406.277149525,2152185.3927949336,23647591.669944458
E-00172,2017-12-28 00:25:48.260520643,A,225,2021-12-12,12422034.934405237,980657.3776259215,13627692.31203116
E-00173,2019-01-05 01:26:06.267210932,A,713,2022-03-27,13943645.380345471,993808.3498726854,15650453.730218157
E-00174,2012-05-27 06:01:05.132932765,A,881,2022-02-12,15402858.487052344,1017539.8965723473,17301398.38362469
E-00175,2021-01-28 11:00:39.584823971,A,358,2022-05-09,12341730.876255883,963203.3327294642,13662934.208985347
E-00176,2021-02-08 04:18:07.388820304,B,28,2022-02-06,18309075.800333347,2460570.149785893,20797645.950119242
E-00177,2019-03-30 01:53:45.075957397,E,41,2022-10-11,25442163.71713067,4996649.130341026,30479812.847471695
E-00178,2021-10-08 18:35:30.042609733,B,587,2023-06-11,12303600.275272608,1636146.441004011,14526746.71627662
E-00179,2021-01-30 21:31:03.029763537,B,267,2023-11-08,11988726.325309888,2204118.5558329294,14459844.881142817
E-00180,2022-01-21 01:18:26.495634489,B,980,2023-02-08,13743885.477580654,2581971.1233302667,17305856.60091092
E-00181,2020-04-05 13:23:51.545855278,C,704,2021-03-29,18588831.31747841,2866475.116697316,22159306.434175726
E-00182,2014-08-26 15:31:27.186559184,C,295,2019-01-11,23365247.67880054,2469733.326681439,26129981.005481977
E-00183,2019-10-30 09:24:37.178105330,C,309,2019-04-08,20079488.905399933,2929005.9463914055,23317494.851791337
E-00184,2011-03-02 03:51:26.207143187,A,761,2023-04-21,9536083.748507958,1029045.3554258693,11326129.103933828
E-00185,2021-11-03 12:24:17.476273058,A,957,2023-03-11,8620885.54784346,1197424.4400257422,10775309.987869203
E-00186,2021-09-12 03:08:55.860063266,E,72,2020-12-13,23724523.98685741,3219443.3167895176,27015967.30364693
E-00187,2023-07-22 08:14:28.370352379,B,24,2021-11-28,17957168.150470693,1762214.1807447113,19743382.331215404
E-00188,2024-10-24 00:39:51.663149037,A,329,2023-05-12,9361304.221725188,954750.9561982647,10645055.177923452
E-00189,2021-07-07 13:18:12.515636473,C,775,2020-10-22,21219212.71493522,3558152.0075721247,25552364.722507346
E-00190,2021-03-17 01:02:52.041200582,A,465,2022-01-17,14709690.3447465,1205728.526060613,16380418.870807113
E-00191,2013-04-17 20:20:56.921640794,B,46,2022-08-04,16288854.657397758,2083075.0748652446,18417929.732263003
E-00192,2019-03-02 12:32:59.378570127,E,85,2019-09-07,25602359.287326746,4638539.275240568,30325898.562567316
E-00193,2019-04-03 08:28:08.036067258,C,687,2023-03-02,23427427.096875556,2784337.635585059,26898764.732460614
E-00194,2021-04-08 02:04:11.863672627,D,934,2021-09-21,26691419.029879987,3587164.2174261007,31212583.247306086
E-00195,2015-04-22 06:40:39.086987401,C,619,2019-07-07,22075547.980889924,2969928.4945948496,25664476.475484774
E-00196,2017-07-01 23:51:22.579408177,B,182,2021-09-09,14439385.067515923,1824107.57669033,16445492.644206252
E-00197,2020-06-13 06:34:02.788594930,E,981,2021-07-09,30871777.43844624,6713573.990822205,38566351.42926844
E-00198,2018-09-19 07:19:20.113719792,D,893,2023-01-13,25566997.95102723,4037613.770498996,30497611.721526224
E-00199,2023-03-18 20:47:56.788228161,D,28,2021-08-15,34988523.21617192,3479703.2447439786,38496226.4609159
E-00200,2021-04-09 09:50:38.843627723,A,265,2021-07-14,8636359.349733543,648280.2000011705,9549639.549734714
E-00201,2022-02-23 02:25:01.862306289,A,2,2022-12-23,9311098.977931445,816269.6107031603,10129368.588634606
E-00202,2017-04-29 10:24:10.124114025,E,664,2020-03-07,18397930.193354636,3792604.1683536256,22854534.36170826
E-00203,2017-11-13 19:35:50.769755006,D,186,2019-03-02,24815394.369862854,2773978.126466143,27775372.496329
E-00204,2018-06-17 20:22:39.113091759,C,61,2019-08-14,22668411.657534543,3972665.134672629,26702076.792207174
E-00205,2020-05-14 07:32:48.296350829,B,106,2019-08-14,13752397.975764645,1958380.0972801454,15816778.07304479
E-00206,2023-12-17 02:17:25.629088418,E,772,2019-02-23,27759604.389740583,3826429.7929878747,32358034.18272846
E-00207,2022-02-18 16:25:40.486513411,A,215,2019-01-03,10895553.911438057,1126586.363551102,12237140.27498916
E-00208,2021-09-02 01:06:11.792821533,A,328,2020-08-02,10319779.842833323,1032939.5654874281,11680719.408320751
E-00209,2018-04-11 07:05:49.469034355,C,634,2021-09-14,15581488.88559308,2981429.611240839,19196918.49683392
E-00210,2022-03-17 12:56:07.649681524,B,520,2023-01-26,16975632.818018492,2804081.81550654,20299714.633525033
E-00211,2011-12-08 05:41:33.243540976,D,974,2019-02-07,26420504.182795897,3239452.9668757385,30633957.149671637
E-00212,2017-06-16 19:55:08.119923700,E,315,2023-09-08,26894332.205782972,5223787.951638899,32433120.157421872
E-00213,2020-06-07 19:40:16.181440930,E,223,2019-11-14,37233768.46771702,5343135.051016874,42799903.5187339
E-00214,2018-12-08 08:10:46.296041487,B,39,2023-11-08,15472084.50387089,2692528.231963671,18203612.73583456
E-00215,2021-07-12 13:52:28.070234045,D,352,2020-07-24,24028087.965701893,4572005.611040913,28952093.576742806
E-00216,2020-10-05 02:24:51.211284747,A,692,2022-04-08,12635610.338403769,874096.6903901831,14201707.028793951
E-00217,2018-01-02 09:33:11.606349023,E,746,2020-07-10,28997291.518098872,5146713.686433323,34890005.20453219
E-00218,2022-11-14 04:47:47.577896176,B,355,2022-07-05,15086234.468804453,2511380.7450429196,17952615.213847373
E-00219,2019-06-13 10:58:59.363938916,E,45,2023-08-18,30147852.590571504,5089956.148126789,35282808.738698296
E-00220,2014-05-21 05:56:12.847744555,D,447,2021-05-05,20894013.341371004,4151776.7068464467,25492790.04821745
E-00221,2015-05-18 06:15:00.917332285,B,232,2022-06-01,13946577.918537483,2442955.3713354855,16621533.289872969
E-00222,2016-08-21 22:01:57.402633906,E,988,2019-10-05,31053274.97934305,5408512.348377426,37449787.32772048
E-00223,2022-05-27 03:05:45.481354223,C,191,2021-11-06,21007610.472130794,3586139.4468222396,24784749.918953035
E-00224,2020-12-07 08:27:51.151615763,B,119,2019-07-29,16101306.800364202,1789677.8450748173,18009984.645439018
E-00225,2012-11-03 08:51:30.109648889,C,32,2023-07-28,22546419.08681824,2725819.605853545,25304238.692671787
E-00226,2022-04-09 00:03:13.928880196,B,481,2022-12-24,17034898.233576123,1980788.1877143292,19496686.421290454
E-00227,2017-09-20 12:39:27.033484584,A,38,2022-07-18,13297272.669441922,1197461.779851325,14532734.449293246
E-00228,2018-03-30 12:07:30.250648133,B,686,2021-08-31,13547072.458240895,1858150.3268266022,16091222.785067497
E-00229,2017-02-25 19:37:28.518958974,D,439,2023-06-16,24154201.221668743,4194646.131302693,28787847.352971435
E-00230,2017-04-29 06:06:14.154283762,D,773,2023-08-10,26489442.69380171,3834746.2652549366,31097188.959056646
E-00231,2017-07-03 01:02:12.888405801,E,162,2021-10-05,22490763.454857334,6443764.60407326,29096528.058930594
E-00232,2022-11-10 14:38:21.236783245,C,583,2021-12-19,19078677.429588284,2861966.1386421705,22523643.568230454
E-00233,2020-04-16 16:41:45.793295447,C,685,2023-05-05,20570891.039470177,3797491.5180794587,25053382.557549637
E-00234,2015-01-16 06:01:20.006559986,E,535,2020-01-13,37495210.6049252,5491404.567019497,43521615.1719447
E-00235,2021-02-16 12:39:25.155583427,A,893,2022-06-13,12731013.469653385,684055.3858576406,14308068.855511025
E-00236,2012-04-17 19:15:39.223044051,D,830,2020-12-26,14042976.762518559,4451760.850028925,19324737.612547483
E-00237,2023-05-04 11:28:46.697708823,C,63,2023-10-07,17524008.097076423,2293262.0142116565,19880270.111288078
E-00238,2021-12-22 15:37:14.430131315,B,365,2023-02-27,10248291.52954283,2304165.8624577187,12917457.392000549
E-00239,2021-01-24 07:04:10.963782203,A,101,2022-12-19,11951646.04580374,885799.0560720854,12938445.101875827
E-00240,2019-10-07 00:35:48.656146896,A,587,2021-06-07,11353287.575427582,1009520.7103628702,12949808.285790453
E-00241,2021-04-09 07:11:45.654123168,D,659,2020-11-03,20895179.13085168,4021508.6711956244,25575687.802047305
