Employee_ID,Exit_Date,Primary_Reason_for_Leaving,Secondary_Reason,Like_Most_About_Company,Improvement_Areas
E-05348,2018-08-01 06:11:17.270309825,Compensation,Lack of Training,Supportive team environment.,Offer more career development programs.
E-08883,2020-03-19 22:30:06.416967613,Job Role Mismatch,Burnout,Flexible work arrangements.,Better leadership communication.
E-08654,2015-11-21 15:31:26.659705272,Compensation,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-09680,2024-12-27 20:57:41.763010365,Management,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-01806,2024-03-19 11:56:50.977772122,Career Growth,Burnout,Learning opportunities.,Improve compensation structure.
E-09692,2022-07-03 19:52:18.746472333,Work-Life Balance,Burnout,Flexible work arrangements.,Improve compensation structure.
E-05477,2020-03-23 04:17:19.674771469,Management,Poor Leadership,Flexible work arrangements.,Offer more career development programs.
E-07596,2019-05-20 01:29:09.584642877,Compensation,Burnout,Flexible work arrangements.,Improve compensation structure.
E-02973,2017-03-20 05:15:29.917058796,Work-Life Balance,Commute,Supportive team environment.,Offer more career development programs.
E-07603,2022-09-05 06:37:22.182626895,Compensation,Poor Leadership,Flexible work arrangements.,More transparency in promotion decisions.
E-03233,2024-09-17 20:10:03.375331682,Compensation,Commute,The people and the challenging projects.,More transparency in promotion decisions.
E-08836,2017-12-03 10:02:47.952018000,Career Growth,Poor Leadership,Company values and mission.,Offer more career development programs.
E-00545,2024-03-13 00:54:23.172680447,Work-Life Balance,Burnout,Flexible work arrangements.,Improve compensation structure.
E-06262,2019-06-24 04:50:47.803766717,Work-Life Balance,Commute,Supportive team environment.,Improve compensation structure.
E-08496,2019-09-12 22:25:17.979896464,Career Growth,Burnout,Company values and mission.,Offer more career development programs.
E-03784,2022-11-12 11:30:14.208539575,Management,Poor Leadership,Learning opportunities.,Reduce micromanagement.
E-03687,2023-10-08 11:16:23.192047798,Compensation,Burnout,Flexible work arrangements.,Improve compensation structure.
E-04091,2021-05-19 04:03:56.960012850,Job Role Mismatch,Commute,Company values and mission.,Better leadership communication.
E-02519,2015-07-10 23:39:02.099828441,Compensation,Commute,Learning opportunities.,Improve compensation structure.
E-08214,2021-12-09 20:57:22.814164781,Compensation,Burnout,Supportive team environment.,Reduce micromanagement.
E-04212,2024-02-11 08:56:34.952356748,Management,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-00711,2023-03-28 11:43:10.450244129,Compensation,Poor Leadership,Flexible work arrangements.,More transparency in promotion decisions.
E-00312,2020-10-17 10:44:36.338290093,Career Growth,Poor Leadership,The people and the challenging projects.,More transparency in promotion decisions.
E-02568,2024-05-31 00:20:32.480481739,Career Growth,Burnout,Supportive team environment.,Improve compensation structure.
E-01506,2019-01-19 00:23:51.935894977,Work-Life Balance,Lack of Training,Company values and mission.,More transparency in promotion decisions.
E-07557,2023-06-13 20:45:12.508278859,Job Role Mismatch,Commute,Company values and mission.,Reduce micromanagement.
E-04056,2024-01-01 03:47:53.578031679,Compensation,Company Culture,Supportive team environment.,Reduce micromanagement.
E-07136,2024-12-30 15:30:29.217523976,Compensation,Company Culture,Supportive team environment.,Improve compensation structure.
E-08636,2022-09-05 12:51:41.356572082,Management,Burnout,Flexible work arrangements.,Better leadership communication.
E-01344,2020-12-24 23:14:50.092425833,Career Growth,Lack of Training,Learning opportunities.,Improve compensation structure.
E-02522,2017-12-16 16:17:55.421215370,Job Role Mismatch,Lack of Training,The people and the challenging projects.,More transparency in promotion decisions.
E-06282,2022-03-10 14:27:03.990815780,Work-Life Balance,Poor Leadership,The people and the challenging projects.,Improve compensation structure.
E-05608,2023-03-25 07:55:15.915168833,Career Growth,Commute,Company values and mission.,Reduce micromanagement.
E-00681,2016-10-23 11:52:27.179086442,Work-Life Balance,Lack of Training,Company values and mission.,Improve compensation structure.
E-04488,2014-12-30 01:58:37.489654332,Management,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-01093,2024-02-04 03:17:29.151248460,Management,Commute,Supportive team environment.,Better leadership communication.
E-08989,2021-08-07 11:49:18.417885009,Compensation,Commute,The people and the challenging projects.,Reduce micromanagement.
E-09399,2018-07-01 23:40:06.101874813,Job Role Mismatch,Burnout,Flexible work arrangements.,Offer more career development programs.
E-02907,2016-02-05 12:40:56.412652358,Work-Life Balance,Lack of Training,Company values and mission.,Offer more career development programs.
E-02025,2024-09-18 03:46:00.861896562,Career Growth,Burnout,Company values and mission.,Reduce micromanagement.
E-04202,2020-12-15 06:14:38.581911236,Management,Lack of Training,The people and the challenging projects.,Offer more career development programs.
E-08818,2019-03-17 15:49:50.003724091,Compensation,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-03530,2019-02-28 11:14:41.973492058,Compensation,Burnout,Company values and mission.,Offer more career development programs.
E-03950,2015-07-02 13:01:38.180862326,Work-Life Balance,Burnout,Learning opportunities.,More transparency in promotion decisions.
E-01955,2024-03-09 04:16:24.403802300,Management,Company Culture,Supportive team environment.,Reduce micromanagement.
E-06459,2023-11-09 06:27:43.003660241,Job Role Mismatch,Burnout,Company values and mission.,Offer more career development programs.
E-07209,2018-05-17 12:01:03.272903292,Management,Lack of Training,Learning opportunities.,Offer more career development programs.
E-04098,2023-11-02 18:33:32.141145360,Work-Life Balance,Company Culture,Flexible work arrangements.,More transparency in promotion decisions.
E-06002,2016-06-02 08:30:43.284262596,Work-Life Balance,Burnout,Company values and mission.,More transparency in promotion decisions.
E-08909,2023-11-20 16:08:14.916201526,Management,Burnout,Flexible work arrangements.,Improve compensation structure.
E-06181,2017-01-04 01:00:43.295472883,Work-Life Balance,Poor Leadership,Company values and mission.,Better leadership communication.
E-08635,2019-01-21 07:32:03.080088772,Management,Burnout,The people and the challenging projects.,Offer more career development programs.
E-07020,2016-05-06 03:47:39.591203423,Career Growth,Commute,Learning opportunities.,Better leadership communication.
E-03747,2024-03-06 07:24:43.060530636,Management,Company Culture,Learning opportunities.,Better leadership communication.
E-09745,2016-04-21 11:36:26.996212367,Management,Commute,The people and the challenging projects.,Offer more career development programs.
E-05410,2015-11-26 11:09:45.939500132,Work-Life Balance,Company Culture,Supportive team environment.,More transparency in promotion decisions.
E-06671,2021-06-02 23:53:40.058975053,Work-Life Balance,Poor Leadership,Learning opportunities.,Improve compensation structure.
E-02271,2022-06-15 17:54:33.945426670,Compensation,Burnout,Flexible work arrangements.,Reduce micromanagement.
E-05595,2024-05-18 10:01:59.668730696,Compensation,Burnout,Learning opportunities.,Offer more career development programs.
E-05929,2023-06-09 14:52:24.828809605,Career Growth,Burnout,Supportive team environment.,Offer more career development programs.
E-08768,2024-10-12 00:01:01.424277972,Compensation,Company Culture,Flexible work arrangements.,Reduce micromanagement.
E-05263,2024-03-29 08:08:47.107324509,Management,Burnout,Flexible work arrangements.,Better leadership communication.
E-00723,2020-04-12 09:47:08.504284927,Work-Life Balance,Commute,The people and the challenging projects.,Improve compensation structure.
E-02460,2014-09-25 18:19:00.312632978,Compensation,Burnout,Company values and mission.,Better leadership communication.
E-03194,2017-08-26 09:22:30.107985423,Compensation,Poor Leadership,The people and the challenging projects.,Reduce micromanagement.
E-05056,2023-06-21 00:15:42.391101792,Career Growth,Commute,Company values and mission.,Reduce micromanagement.
E-07024,2023-10-06 08:16:22.033635547,Career Growth,Burnout,The people and the challenging projects.,Improve compensation structure.
E-05465,2023-06-17 02:55:18.496037941,Management,Burnout,Company values and mission.,Reduce micromanagement.
E-00265,2014-05-06 12:33:53.643856091,Work-Life Balance,Lack of Training,Learning opportunities.,Reduce micromanagement.
E-05923,2019-04-14 12:15:38.988895546,Career Growth,Company Culture,Flexible work arrangements.,Improve compensation structure.
E-00766,2014-04-02 13:55:31.573790062,Compensation,Commute,Company values and mission.,Offer more career development programs.
E-03035,2019-05-14 17:05:53.920601842,Work-Life Balance,Lack of Training,Learning opportunities.,Better leadership communication.
E-07966,2020-12-11 04:21:03.915724005,Work-Life Balance,Poor Leadership,Supportive team environment.,Offer more career development programs.
E-06187,2024-11-30 19:37:02.147254520,Compensation,Company Culture,The people and the challenging projects.,Offer more career development programs.
E-07301,2021-01-03 09:14:51.369817875,Career Growth,Commute,Supportive team environment.,Better leadership communication.
E-09133,2023-02-28 15:50:22.909715323,Compensation,Burnout,Learning opportunities.,Offer more career development programs.
E-07911,2023-04-19 19:17:27.630939090,Work-Life Balance,Commute,Supportive team environment.,Improve compensation structure.
E-01052,2022-06-03 07:52:58.496185930,Job Role Mismatch,Burnout,Supportive team environment.,Better leadership communication.
E-05053,2020-11-25 00:37:49.363347797,Job Role Mismatch,Company Culture,Learning opportunities.,More transparency in promotion decisions.
E-02789,2022-09-30 21:03:44.090136575,Management,Burnout,Flexible work arrangements.,Offer more career development programs.
E-04003,2022-09-05 17:03:50.580134219,Compensation,Poor Leadership,Company values and mission.,Reduce micromanagement.
E-08670,2022-05-20 07:24:39.970114006,Compensation,Burnout,The people and the challenging projects.,Better leadership communication.
E-01338,2023-05-02 12:26:27.990409459,Management,Poor Leadership,Company values and mission.,More transparency in promotion decisions.
E-05347,2023-09-13 10:03:53.407048057,Management,Company Culture,The people and the challenging projects.,Reduce micromanagement.
E-04235,2022-02-07 02:38:17.335011534,Management,Company Culture,Company values and mission.,More transparency in promotion decisions.
E-03526,2020-10-22 05:31:22.678496180,Work-Life Balance,Commute,Supportive team environment.,Offer more career development programs.
E-02371,2020-02-17 04:06:05.069739893,Compensation,Poor Leadership,Flexible work arrangements.,Reduce micromanagement.
E-06732,2022-10-05 09:28:26.306794971,Work-Life Balance,Poor Leadership,Supportive team environment.,Offer more career development programs.
E-09258,2023-03-16 22:02:40.579070129,Management,Lack of Training,Flexible work arrangements.,Reduce micromanagement.
E-00566,2016-06-04 20:40:44.884183595,Compensation,Lack of Training,Learning opportunities.,Better leadership communication.
E-08373,2022-10-12 20:17:08.633605130,Work-Life Balance,Lack of Training,The people and the challenging projects.,Improve compensation structure.
E-05149,2020-10-08 20:54:31.128470481,Work-Life Balance,Burnout,The people and the challenging projects.,Improve compensation structure.
E-08919,2018-02-28 03:39:05.262763256,Management,Lack of Training,Learning opportunities.,More transparency in promotion decisions.
