Employee_ID,Date_of_Birth,Gender,Ethnicity,Hire_Date,Termination_Date,Termination_Reason,Department,Job_Title,Job_Level,Manager_ID,Location,Employment_Type,Tenure_in_Months,Time_in_Current_Role
E-00017,1996-10-11 21:29:02.316133207,Female,Black,2011-06-23 18:32:04.892667380,2023-05-05 19:53:18.345324197,Voluntary,Finance,Executive,L2,E-08816,"Ikorodu, Lagos",Full-Time,144,2
E-00018,2000-11-25 10:12:11.482667956,Non-Binary,Other,2021-09-15 04:26:18.419552986,2022-10-28 00:54:23.677322094,Voluntary,HR,Executive,L1,E-01649,Port Harcourt,Part-Time,13,8
E-00019,1990-10-07 15:36:30.285573053,Male,Black,2018-08-17 07:21:12.936244216,,,Sales,Manager,L3,E-00957,"Ikorodu, Lagos",Full-Time,77,68
E-00020,1981-03-02 22:00:57.732734615,Male,Hispanic,2014-10-06 23:51:03.386829792,2022-02-22 14:06:57.540510439,Voluntary,Finance,Engineer,L3,E-03447,"VI, Lagos",Part-Time,89,30
E-00021,2000-04-18 16:59:50.893084832,Male,Asian,2015-08-25 12:06:24.259119721,2021-09-06 04:15:38.776889519,Involuntary,Engineering,Analyst,L4,E-07997,Port Harcourt,Contract,73,4
E-00022,1975-08-19 21:42:21.648938604,Female,Black,2022-12-06 03:01:11.302962985,2023-07-05 11:21:45.532580381,Retirement,Finance,Analyst,L5,E-02328,"Ikorodu, Lagos",Full-Time,7,6
E-00023,2000-02-18 08:29:59.565582513,Non-Binary,Black,2010-12-24 17:51:23.631877163,2013-08-28 09:35:09.372884823,Voluntary,HR,Executive,L2,E-01817,"VI, Lagos",Contract,32,22
E-00024,1993-02-04 11:58:29.213086967,Female,White,2017-12-30 01:18:12.588565651,2018-12-23 09:20:28.896808113,Involuntary,Sales,Manager,L1,E-08097,"Ikorodu, Lagos",Contract,11,6
E-00025,1984-05-06 17:28:16.779313505,Male,White,2020-07-13 10:02:29.581735234,2024-08-11 19:50:51.046849953,Involuntary,Engineering,Executive,L5,E-02369,Port Harcourt,Part-Time,49,16
E-00026,1976-04-27 02:21:04.672809789,Female,Hispanic,2017-07-11 10:48:45.262358400,2022-07-20 01:57:53.846707676,Voluntary,Sales,Engineer,L5,E-06294,"VI, Lagos",Part-Time,61,22
E-00027,1981-07-04 09:17:09.841226928,Male,Asian,2011-08-27 06:47:58.335747273,2021-12-06 00:02:42.900882154,Voluntary,Marketing,Engineer,L4,E-04870,"Ikorodu, Lagos",Part-Time,125,47
E-00028,1993-03-09 13:37:51.177671578,Male,Other,2022-08-09 08:39:54.293013550,2022-09-14 07:04:58.560664958,Voluntary,HR,Executive,L2,E-09562,"Ikorodu, Lagos",Part-Time,1,1
E-00029,2000-01-11 07:25:27.475528149,Female,Black,2018-12-13 23:56:26.491254118,,,Sales,Analyst,L2,E-07806,"VI, Lagos",Full-Time,73,1
E-00030,1999-10-29 09:37:00.927352554,Female,Other,2017-12-14 10:48:08.909628877,2019-09-13 02:37:55.496353488,Voluntary,Marketing,Manager,L1,E-09436,"Ikorodu, Lagos",Contract,21,17
E-00031,1983-02-05 04:20:19.908648628,Non-Binary,Other,2016-03-01 09:03:22.219771959,,,Marketing,Engineer,L4,E-07422,"VI, Lagos",Full-Time,107,23
E-00032,1976-04-01 08:49:15.816722790,Non-Binary,Hispanic,2010-08-04 02:28:57.077558463,2019-08-11 00:06:00.702866326,Involuntary,Engineering,Executive,L5,E-04612,Port Harcourt,Contract,109,2
E-00033,1975-09-09 18:02:01.383639996,Female,Asian,2020-05-30 21:46:26.499535737,2023-01-16 20:53:23.682698386,Voluntary,Marketing,Engineer,L3,E-05733,Port Harcourt,Contract,32,1
E-00034,1999-12-28 11:10:27.327811244,Non-Binary,Hispanic,2013-07-24 18:25:06.169792203,,,Sales,Analyst,L3,E-08946,Abuja,Contract,139,81
E-00035,1992-01-18 17:48:41.377725576,Male,White,2010-04-21 11:53:01.035487783,2014-06-12 11:47:52.672471764,Voluntary,Marketing,Manager,L5,E-00413,Port Harcourt,Full-Time,50,21
E-00036,2000-02-27 03:28:40.849213728,Female,Other,2019-10-04 22:03:07.844324731,2024-12-13 17:40:06.619188135,Voluntary,Sales,Analyst,L5,E-03441,Abuja,Full-Time,63,23
E-00037,1994-08-14 03:20:21.031423589,Male,Black,2016-12-11 23:41:03.349517161,2020-02-01 05:50:17.143873018,Voluntary,HR,Analyst,L4,E-00396,"Ikorodu, Lagos",Full-Time,38,19
E-00038,1977-05-16 20:35:55.630561139,Male,Hispanic,2017-06-15 16:23:39.218728902,2020-11-02 14:22:29.399371250,Voluntary,Engineering,Executive,L3,E-05589,Port Harcourt,Full-Time,41,23
E-00039,1995-04-25 04:29:42.311720160,Male,Other,2016-06-05 12:10:57.221286836,,,Sales,Analyst,L3,E-05335,"Ikorodu, Lagos",Contract,104,75
E-00040,1978-01-16 16:02:28.722901513,Male,White,2020-11-17 21:42:26.629550015,2024-05-02 19:37:57.303308527,Voluntary,Sales,Analyst,L2,E-06939,"VI, Lagos",Part-Time,42,5
E-00041,1988-05-06 13:05:13.738816029,Male,Other,2014-10-26 19:24:50.193238867,2024-06-18 15:01:58.675944175,Retirement,Finance,Executive,L4,E-03487,Abuja,Full-Time,117,108
E-00042,1989-07-08 14:33:43.674440120,Male,White,2014-04-18 00:56:10.272423534,2017-01-03 22:28:16.978942758,Voluntary,Sales,Executive,L4,E-08648,"Ikorodu, Lagos",Contract,33,1
E-00043,1992-09-15 03:36:34.535138235,Male,Black,2014-11-15 21:15:08.200386443,,,Engineering,Manager,L5,E-00134,"VI, Lagos",Full-Time,123,32
E-00044,1989-06-15 19:46:20.376478522,Male,Other,2022-11-28 14:19:28.010591469,,,HR,Engineer,L4,E-06191,"Ikorodu, Lagos",Full-Time,25,14
E-00045,1982-08-28 12:20:54.457776335,Non-Binary,Asian,2021-09-18 16:45:27.401289036,,,Finance,Manager,L4,E-07576,Port Harcourt,Full-Time,40,8
E-00046,1979-05-31 06:43:43.742693890,Female,White,2012-12-25 03:59:24.225253535,,,Marketing,Analyst,L4,E-03776,Abuja,Part-Time,146,145
E-00047,1982-04-10 15:13:20.416193071,Male,Other,2018-11-26 02:29:11.669494735,,,HR,Analyst,L2,E-07027,Port Harcourt,Full-Time,74,47
E-00048,1998-11-24 12:00:46.330313005,Male,White,2017-03-03 22:32:28.507710716,,,Engineering,Manager,L1,E-02194,Port Harcourt,Contract,95,49
E-00049,1984-10-17 12:19:05.537051235,Female,Black,2022-08-11 03:41:07.655170824,2024-08-12 00:20:54.531158757,Voluntary,HR,Engineer,L1,E-00405,Port Harcourt,Contract,24,6
E-00050,1992-12-25 12:28:40.700581440,Female,Other,2022-12-16 00:45:39.089684376,2024-07-11 16:42:41.542695077,Retirement,Sales,Engineer,L1,E-07246,"Ikorodu, Lagos",Part-Time,19,1
E-00051,1999-10-21 16:02:43.138938704,Female,Black,2018-09-25 05:38:11.001898265,2020-12-23 01:39:48.482165917,Voluntary,Sales,Manager,L2,E-00771,Abuja,Part-Time,27,12
E-00052,1996-03-23 09:34:28.552791953,Non-Binary,Asian,2015-03-31 17:40:46.454286247,,,Marketing,Analyst,L2,E-04531,Abuja,Part-Time,118,64
E-00053,1975-05-19 02:47:14.943742667,Male,White,2018-04-11 18:53:37.455008432,2018-11-21 06:55:15.572755038,Involuntary,Engineering,Manager,L1,E-09551,Port Harcourt,Part-Time,7,7
E-00054,1988-08-12 03:03:11.206530374,Female,Other,2011-11-30 07:19:02.275772629,2018-05-09 14:53:54.387277278,Voluntary,Marketing,Manager,L5,E-05570,"Ikorodu, Lagos",Part-Time,78,43
E-00055,1981-03-30 10:08:49.567291137,Male,Black,2015-12-25 15:29:54.256185617,2019-08-05 05:39:13.880833948,Involuntary,Finance,Executive,L4,E-09912,"Ikorodu, Lagos",Contract,43,32
E-00056,1987-04-28 17:45:13.184890773,Female,White,2017-10-28 23:44:31.893660594,,,Marketing,Analyst,L2,E-04778,"Ikorodu, Lagos",Part-Time,87,21
E-00057,1989-04-07 14:24:49.786578944,Female,Hispanic,2012-09-06 16:08:23.567196721,2018-11-19 13:07:23.223363207,Involuntary,Engineering,Manager,L1,E-06191,"Ikorodu, Lagos",Part-Time,75,56
E-00058,1997-09-17 12:03:45.894351424,Non-Binary,Other,2010-01-13 07:42:29.586835056,2011-04-20 06:59:14.474932344,Involuntary,Finance,Engineer,L2,E-08151,"VI, Lagos",Part-Time,15,13
E-00059,1976-08-14 23:50:45.174343096,Male,Asian,2019-04-10 23:36:43.238579480,2022-03-16 09:54:46.888055599,Involuntary,Marketing,Manager,L2,E-06950,Abuja,Contract,35,15
E-00060,1977-09-22 20:06:09.105906703,Female,Hispanic,2010-04-06 07:09:11.265002910,2013-05-18 12:32:38.576634252,Voluntary,Finance,Analyst,L1,E-03597,Port Harcourt,Full-Time,37,4
E-00061,1984-03-26 01:41:28.084440010,Female,White,2011-02-17 16:44:26.405297177,2019-04-09 15:13:52.181719233,Involuntary,Engineering,Executive,L3,E-02473,"Ikorodu, Lagos",Part-Time,99,52
E-00062,1991-10-17 15:07:22.686374055,Female,Asian,2022-10-28 23:23:08.269647397,2023-05-05 13:40:22.140409384,Voluntary,Finance,Manager,L3,E-03518,"VI, Lagos",Part-Time,6,1
E-00063,1977-01-31 21:35:29.656575260,Female,Other,2022-10-09 08:00:29.354290234,,,Sales,Executive,L4,E-08196,Abuja,Part-Time,27,22
E-00064,1981-09-15 01:05:09.221459879,Male,Asian,2020-09-02 10:48:23.719574986,2022-12-27 08:14:25.258138488,Voluntary,Marketing,Executive,L5,E-06470,"VI, Lagos",Part-Time,28,4
E-00065,1986-01-22 22:39:57.983169064,Female,Black,2016-11-20 16:19:49.157524580,2023-02-12 14:39:58.421295915,Voluntary,HR,Engineer,L4,E-06989,Abuja,Contract,75,33
E-00066,1984-08-07 05:06:13.168912910,Female,Other,2010-10-28 21:42:16.687126183,2015-05-25 01:15:41.968841762,Retirement,Engineering,Engineer,L5,E-02833,"Ikorodu, Lagos",Contract,55,15
E-00067,1987-04-06 02:05:58.831207039,Male,Black,2021-01-22 06:05:43.885662172,2022-09-02 02:40:59.839067544,Retirement,HR,Analyst,L2,E-02636,Abuja,Contract,19,1
E-00068,1994-04-08 16:21:37.640885846,Female,Other,2011-10-26 15:20:30.700748192,2014-06-23 11:23:41.877730679,Voluntary,Marketing,Analyst,L5,E-02899,Abuja,Part-Time,32,26
E-00069,1998-08-09 02:19:21.348945318,Male,White,2015-02-07 07:54:17.571686921,2019-06-13 19:14:58.374874671,Voluntary,HR,Analyst,L1,E-05143,Abuja,Contract,52,33
E-00070,1981-01-14 02:12:07.469064910,Female,White,2017-01-24 18:56:08.266780435,2022-01-07 19:56:12.197296357,Voluntary,HR,Engineer,L3,E-08136,"VI, Lagos",Contract,60,47
E-00071,1991-02-14 05:03:40.921674969,Female,Asian,2020-04-02 06:13:45.888447829,,,Engineering,Analyst,L5,E-00951,"Ikorodu, Lagos",Part-Time,57,4
E-00072,1989-10-25 16:08:19.467285057,Female,Asian,2019-10-24 00:12:02.800958414,,,Marketing,Engineer,L4,E-06360,Port Harcourt,Contract,63,29
E-00073,1989-01-13 12:23:55.106030175,Female,Hispanic,2019-05-23 06:07:28.824696071,2022-12-26 23:12:02.405858641,Involuntary,Finance,Manager,L3,E-02117,Port Harcourt,Contract,43,10
E-00074,1983-11-27 14:38:53.908867498,Male,White,2022-04-25 16:49:52.015604090,,,Marketing,Executive,L2,E-00985,"Ikorodu, Lagos",Contract,32,8
E-00075,1997-09-03 16:31:38.438428448,Non-Binary,Hispanic,2021-12-11 05:27:34.245563725,2022-01-05 22:05:49.053439227,Involuntary,Engineering,Executive,L2,E-06025,"VI, Lagos",Contract,0,0
E-00076,1994-02-23 06:35:13.472940569,Non-Binary,Asian,2015-11-11 14:02:52.980877187,,,Marketing,Manager,L4,E-09398,Abuja,Full-Time,111,1
E-00077,1997-08-13 12:51:37.797866208,Female,Other,2014-12-06 22:38:34.592748221,2017-01-01 01:35:01.634511603,Involuntary,Sales,Analyst,L3,E-08767,Port Harcourt,Full-Time,25,11
E-00078,1998-12-30 10:19:43.204086865,Female,Asian,2019-08-03 15:44:32.008567352,2020-10-20 16:47:30.708449899,Voluntary,HR,Manager,L1,E-01991,Port Harcourt,Part-Time,14,5
E-00079,1998-10-14 09:02:24.853287310,Male,Asian,2018-03-21 23:46:48.493222752,,,Marketing,Analyst,L1,E-03433,"Ikorodu, Lagos",Part-Time,82,63
E-00080,2000-12-01 07:37:46.173715700,Female,Black,2014-01-11 13:55:57.439778701,2018-09-17 17:22:05.054106955,Involuntary,Marketing,Analyst,L5,E-09693,"VI, Lagos",Contract,57,18
E-00081,1982-08-24 05:57:30.863434694,Female,White,2016-10-25 19:19:11.893499022,2020-02-05 16:27:32.059327601,Involuntary,Finance,Analyst,L5,E-08039,Abuja,Part-Time,39,10
E-00082,1998-05-01 23:58:48.429706687,Female,Black,2010-05-01 12:49:33.600747423,,,Sales,Engineer,L5,E-00833,"Ikorodu, Lagos",Contract,178,67
E-00083,1981-01-03 06:52:13.589788149,Female,Other,2017-09-26 07:01:16.805360372,2021-11-15 00:37:44.392295717,Retirement,Finance,Engineer,L2,E-07971,Port Harcourt,Part-Time,50,32
E-00084,1997-03-31 16:38:52.322261804,Female,Hispanic,2022-04-12 01:22:37.376333293,,,Sales,Engineer,L2,E-08967,"Ikorodu, Lagos",Contract,33,21
E-00085,1975-09-09 22:47:43.409972428,Male,Hispanic,2018-05-11 14:39:13.769896988,2024-05-28 18:49:32.905567346,Involuntary,HR,Manager,L2,E-04567,Abuja,Full-Time,73,37
E-00086,1985-08-23 18:33:11.451572850,Female,White,2021-03-12 08:25:22.843774133,,,Sales,Manager,L4,E-02680,Abuja,Part-Time,46,23
E-00087,1995-10-18 10:12:44.105100903,Male,Asian,2016-08-30 03:34:29.291004215,2022-06-28 03:13:47.107400249,Voluntary,Engineering,Manager,L3,E-02542,Port Harcourt,Part-Time,70,58
E-00088,1998-05-31 20:01:47.067518035,Female,Other,2010-03-29 07:39:15.746172940,2011-12-24 02:45:37.737341809,Involuntary,Sales,Analyst,L5,E-07142,"VI, Lagos",Contract,21,21
E-00089,1975-04-15 09:59:36.004496403,Male,Black,2013-06-19 08:01:29.717035576,2016-05-10 15:54:12.499570952,Involuntary,Marketing,Engineer,L2,E-09901,"Ikorodu, Lagos",Part-Time,35,21
E-00090,1984-12-17 06:48:11.311824490,Female,White,2012-02-29 12:19:20.771373944,2013-03-23 18:09:11.988413259,Involuntary,Sales,Analyst,L5,E-03851,Port Harcourt,Contract,12,4
E-00091,1993-09-11 01:26:16.710396990,Male,Asian,2022-05-05 07:24:29.297975423,2024-11-16 17:27:00.386806014,Voluntary,Engineering,Manager,L4,E-08943,Port Harcourt,Contract,30,3
E-00092,1996-11-17 03:58:32.531880443,Female,Asian,2017-10-04 19:26:10.751198513,2023-05-05 20:56:34.848823697,Voluntary,Engineering,Executive,L1,E-05761,"Ikorodu, Lagos",Full-Time,67,43
E-00093,1990-07-22 07:47:08.964763874,Female,Asian,2020-08-25 02:20:50.292997465,2023-09-02 23:17:30.898013379,Voluntary,Sales,Executive,L3,E-09829,Port Harcourt,Contract,36,17
E-00094,1999-09-15 10:53:37.986634132,Male,Hispanic,2017-01-16 22:41:48.320371204,2022-11-14 18:59:21.240265588,Retirement,Marketing,Manager,L1,E-06610,"Ikorodu, Lagos",Contract,70,59
E-00095,2000-09-04 21:29:22.900084198,Non-Binary,White,2017-08-25 01:49:53.883255305,2021-09-25 10:00:27.871377983,Voluntary,Marketing,Engineer,L1,E-08008,"VI, Lagos",Contract,49,23
E-00096,1995-09-05 13:35:10.457628515,Female,Hispanic,2020-12-23 22:05:35.022726018,2024-04-24 14:20:13.266688626,Voluntary,HR,Executive,L4,E-07981,"VI, Lagos",Contract,40,37
E-00097,1988-10-14 09:32:41.236887402,Male,Hispanic,2017-06-10 21:17:16.954664199,2021-07-06 09:55:27.845597219,Involuntary,Marketing,Manager,L1,E-08685,"VI, Lagos",Part-Time,49,2
E-00098,1975-08-20 17:02:08.591500464,Female,Asian,2021-05-16 02:00:18.020555616,2024-10-11 08:21:28.146311958,Involuntary,Finance,Analyst,L1,E-08437,Port Harcourt,Full-Time,41,16
E-00099,1997-09-18 10:30:32.513484127,Non-Binary,White,2011-03-12 09:19:21.484623673,2018-05-29 10:51:55.571498215,Involuntary,Engineering,Engineer,L5,E-01166,Port Harcourt,Part-Time,87,68
E-00100,1993-08-08 21:27:45.918520833,Female,Black,2021-11-01 06:57:40.887576504,,,Engineering,Analyst,L4,E-01829,"Ikorodu, Lagos",Full-Time,38,6
E-00101,2000-07-16 05:03:13.351719389,Female,Asian,2021-09-30 21:09:12.627203149,2024-03-01 23:37:45.098037992,Voluntary,Finance,Analyst,L5,E-03565,"VI, Lagos",Part-Time,29,11
E-00102,1979-08-04 07:26:40.582260081,Male,Black,2022-06-12 02:51:39.626913312,2024-06-28 05:41:45.030077093,Involuntary,Engineering,Analyst,L3,E-01914,"Ikorodu, Lagos",Full-Time,24,10
E-00103,1988-05-24 19:03:46.594883810,Female,Black,2012-01-01 16:44:46.749260987,2014-12-02 08:11:54.100213154,Voluntary,Engineering,Analyst,L4,E-01934,"Ikorodu, Lagos",Part-Time,35,11
E-00104,1997-10-24 08:50:25.572891200,Male,Hispanic,2016-03-13 06:16:40.590847698,,,Sales,Executive,L2,E-09753,"Ikorodu, Lagos",Contract,107,59
E-00105,1982-04-26 02:07:31.726058378,Male,Asian,2019-05-28 19:10:07.662149872,2019-11-10 10:58:19.065385951,Voluntary,Marketing,Executive,L5,E-05069,"Ikorodu, Lagos",Part-Time,5,5
E-00106,1987-06-30 15:36:11.948588596,Female,White,2017-06-05 14:56:09.850629514,2021-07-18 17:09:18.353227186,Retirement,Engineering,Manager,L3,E-02384,Port Harcourt,Full-Time,50,48
E-00107,1993-06-01 14:45:21.042947859,Female,Black,2022-02-03 01:39:20.236628658,,,HR,Manager,L4,E-06151,"Ikorodu, Lagos",Contract,35,31
E-00108,1996-06-20 22:56:26.594562050,Male,Asian,2012-12-21 12:17:39.861917090,2012-12-26 10:23:23.998772344,Involuntary,Marketing,Analyst,L4,E-00295,"VI, Lagos",Full-Time,0,0
E-00109,1991-01-15 08:06:44.659818581,Non-Binary,Black,2011-07-05 00:38:21.004166117,2011-08-18 17:39:02.199279628,Retirement,HR,Manager,L2,E-05353,Port Harcourt,Part-Time,1,1
E-00110,1983-11-21 10:02:02.863970571,Female,Other,2011-05-02 17:11:18.686377976,2020-09-25 15:24:04.109075043,Voluntary,HR,Executive,L1,E-09110,"Ikorodu, Lagos",Part-Time,114,65
E-00111,1976-07-04 00:18:16.715492510,Male,White,2021-05-01 01:21:43.684832122,2024-11-19 08:28:26.258388348,Involuntary,HR,Executive,L5,E-05127,"Ikorodu, Lagos",Contract,43,33
E-00112,1983-06-01 00:03:48.186205375,Female,Asian,2013-04-13 21:52:37.360165903,,,Sales,Manager,L2,E-03357,Port Harcourt,Full-Time,142,99
E-00113,1986-09-26 08:54:30.214189293,Male,Other,2019-01-07 14:28:37.172107873,,,Sales,Engineer,L4,E-03094,Abuja,Contract,72,67
E-00114,1999-09-21 09:36:33.448023135,Male,Hispanic,2019-07-05 01:41:12.018427488,2024-03-19 22:25:51.403752006,Retirement,HR,Analyst,L5,E-05627,"Ikorodu, Lagos",Part-Time,57,38
E-00115,1980-12-23 15:34:28.203607588,Male,Black,2018-06-22 02:44:17.106838287,2024-02-11 17:51:34.949007109,Voluntary,Finance,Manager,L1,E-05777,"Ikorodu, Lagos",Full-Time,68,8
E-00116,1995-01-16 16:10:19.494328872,Female,Hispanic,2010-03-26 19:23:54.138082018,2014-07-30 13:12:27.103833800,Retirement,Sales,Engineer,L4,E-07726,Abuja,Full-Time,52,30
E-00117,1978-01-18 23:00:19.790227978,Male,Hispanic,2013-03-21 07:40:22.875296914,2015-11-16 19:39:16.600914921,Voluntary,Marketing,Analyst,L2,E-05464,Port Harcourt,Contract,32,32
E-00118,1986-11-01 18:29:34.282819711,Male,White,2018-11-05 19:23:36.552832166,2024-11-04 22:23:59.622091027,Involuntary,HR,Analyst,L1,E-02044,"VI, Lagos",Full-Time,73,8
E-00119,1993-10-30 19:31:07.907670399,Female,Black,2013-02-23 05:30:49.131240217,2014-11-02 02:13:50.062304446,Voluntary,Finance,Executive,L1,E-08906,Port Harcourt,Part-Time,20,1
E-00120,1988-06-17 04:33:15.746217399,Male,Other,2011-01-27 18:00:45.059597585,2016-01-21 21:15:49.855268441,Voluntary,Sales,Manager,L2,E-03042,"VI, Lagos",Contract,60,44
E-00121,1977-09-19 23:25:44.700856158,Female,Asian,2021-08-26 06:12:35.580835713,2023-09-19 08:47:15.253414125,Involuntary,Engineering,Manager,L4,E-05384,Port Harcourt,Part-Time,25,20
E-00122,1983-10-29 10:03:24.052592424,Female,Asian,2021-08-19 14:08:51.329073281,2024-05-20 20:46:39.938527415,Voluntary,HR,Engineer,L1,E-07868,"VI, Lagos",Part-Time,33,11
E-00123,1993-11-04 22:52:20.285534576,Female,Hispanic,2012-01-28 12:26:07.397728932,2014-11-28 10:15:25.242746002,Retirement,Finance,Analyst,L5,E-02357,Abuja,Contract,34,18
E-00124,1975-07-18 02:20:13.520755317,Female,Other,2022-12-14 14:14:32.648992275,2024-04-14 00:53:20.845673035,Voluntary,HR,Analyst,L5,E-06079,Abuja,Full-Time,16,7
E-00125,1987-01-11 01:37:20.397781704,Female,White,2019-08-28 08:53:36.613608881,2021-07-03 15:15:21.724633307,Voluntary,Finance,Executive,L2,E-01713,Abuja,Full-Time,22,4
E-00126,1975-10-07 03:06:42.356487741,Male,Hispanic,2021-05-10 00:19:29.373172979,2022-11-22 07:46:41.210137349,Voluntary,HR,Manager,L5,E-03715,"Ikorodu, Lagos",Part-Time,18,8
E-00127,1996-09-25 15:18:09.820773918,Male,White,2019-04-22 17:41:10.951632064,2020-04-30 11:28:01.812920989,Voluntary,Sales,Engineer,L5,E-04649,"VI, Lagos",Part-Time,12,12
E-00128,1985-07-13 01:51:36.696965739,Female,Black,2018-08-13 03:01:11.948002023,,,Engineering,Engineer,L1,E-08220,"VI, Lagos",Contract,77,5
E-00129,1983-06-16 00:06:59.029433478,Female,Hispanic,2022-08-10 17:02:51.823645152,2023-03-05 00:26:32.092604692,Voluntary,Sales,Analyst,L2,E-03433,"Ikorodu, Lagos",Full-Time,6,4
E-00130,1990-04-14 13:11:58.968749869,Non-Binary,Black,2012-03-04 02:45:34.160864535,,,Engineering,Engineer,L5,E-02735,"Ikorodu, Lagos",Full-Time,156,49
E-00131,1996-12-12 05:49:19.206753219,Female,Hispanic,2021-03-27 07:09:42.761976816,2023-04-08 16:03:16.494839662,Voluntary,Sales,Analyst,L5,E-09236,"VI, Lagos",Full-Time,24,1
E-00132,1978-03-05 13:20:16.233148124,Female,Other,2011-02-25 11:05:09.360264488,,,HR,Manager,L4,E-04586,Port Harcourt,Full-Time,168,43
E-00133,1975-06-15 00:55:25.328753581,Male,Other,2021-04-13 21:01:31.789724007,2023-03-15 01:19:52.538161730,Voluntary,Finance,Manager,L4,E-06295,Port Harcourt,Part-Time,23,13
E-00134,1978-09-25 01:52:42.521612854,Non-Binary,Hispanic,2018-10-03 10:58:21.512067519,2019-05-05 15:28:24.338700828,Involuntary,Marketing,Engineer,L2,E-05239,"VI, Lagos",Contract,7,2
E-00135,1975-06-16 07:57:51.773138755,Male,White,2021-04-18 13:27:38.848748051,2021-05-29 16:11:21.817660524,Retirement,Finance,Analyst,L1,E-03125,Port Harcourt,Full-Time,1,1
E-00136,1990-01-02 22:49:27.075195307,Male,White,2022-12-29 05:11:34.364468374,,,Engineering,Analyst,L1,E-05209,Port Harcourt,Full-Time,24,9
E-00137,1977-05-09 05:08:25.017720048,Male,Asian,2021-06-03 04:36:18.869080311,2022-08-04 14:58:53.231976730,Involuntary,Sales,Manager,L5,E-01001,Abuja,Contract,14,13
E-00138,1996-04-06 03:41:21.131347631,Male,Black,2014-04-09 03:41:51.647858718,2020-10-24 02:02:16.720605486,Involuntary,HR,Executive,L5,E-05593,"Ikorodu, Lagos",Full-Time,79,35
E-00139,1980-11-28 03:39:25.674412602,Male,Asian,2012-03-10 18:34:28.472819482,2021-12-01 17:54:18.807153666,Involuntary,Marketing,Manager,L2,E-01178,"Ikorodu, Lagos",Full-Time,118,98
