Employee_ID,Survey_Date,Engagement_Score,Satisfaction_Score,Work_Life_Balance,Relationship_with_Manager,Career_Development_Opportunities,Performance_Rating_2024,Performance_Rating_2023,Training_Hours_Last_Year,Projects_Completed
E-00086,2024-06-30,3.7,4.1,3.1,3.5,3.2,4.4,4.0,59,4
E-00087,2024-06-30,4.5,3.5,2.8,3.9,3.0,4.2,3.8,31,5
E-00088,2024-06-30,4.2,3.3,3.4,3.7,3.0,4.0,3.8,72,2
E-00089,2024-06-30,3.7,4.4,3.4,4.1,3.1,4.3,3.2,75,5
E-00090,2024-06-30,4.3,4.8,4.2,4.5,2.4,4.8,3.3,67,9
E-00091,2024-06-30,4.0,3.8,3.5,4.4,2.9,3.8,4.3,32,4
E-00092,2024-06-30,4.5,3.4,2.9,4.7,2.3,4.1,4.5,22,7
E-00093,2024-06-30,3.6,2.8,2.6,4.6,2.6,3.9,2.9,37,3
E-00094,2024-06-30,3.8,3.5,4.1,4.0,3.7,3.7,4.0,25,6
E-00095,2024-06-30,3.8,3.9,3.9,4.2,2.9,3.7,4.4,69,2
E-00096,2024-06-30,3.3,4.8,4.2,4.2,3.4,4.5,3.7,22,3
E-00097,2024-06-30,4.1,4.3,2.8,3.3,3.1,3.5,4.4,33,4
E-00098,2024-06-30,4.1,4.2,4.8,3.7,2.8,4.2,4.1,77,7
E-00099,2024-06-30,4.0,3.8,2.3,4.1,2.4,3.8,4.0,55,3
E-00100,2024-06-30,3.9,3.7,4.0,4.1,2.8,4.5,3.7,60,1
E-00101,2024-06-30,3.3,4.7,2.2,4.4,3.1,3.9,3.8,54,8
E-00102,2024-06-30,3.8,4.1,2.9,4.4,3.3,3.9,3.6,35,4
E-00103,2024-06-30,3.8,2.9,4.6,3.5,3.1,4.5,3.9,52,8
E-00104,2024-06-30,3.6,3.7,4.1,4.4,3.4,4.3,3.9,88,5
E-00105,2024-06-30,3.9,3.6,3.1,4.3,2.1,4.2,3.6,89,1
E-00106,2024-06-30,4.2,3.7,3.1,4.4,3.5,4.2,3.0,10,8
E-00107,2024-06-30,4.9,4.3,3.6,4.6,2.3,3.7,3.7,37,4
E-00108,2024-06-30,4.1,3.9,3.9,4.1,3.6,4.2,3.4,90,4
E-00109,2024-06-30,4.1,4.0,4.4,4.7,3.3,3.9,3.4,25,6
E-00110,2024-06-30,4.0,4.7,3.2,3.8,1.9,4.1,3.5,69,7
E-00111,2024-06-30,3.0,3.7,2.4,3.8,3.4,4.1,4.1,25,3
E-00112,2024-06-30,4.0,4.9,3.6,4.4,3.6,3.7,3.4,77,11
E-00113,2024-06-30,4.0,3.7,3.2,4.1,3.8,4.2,3.4,52,11
E-00114,2024-06-30,5.2,4.0,2.6,4.3,2.5,3.9,4.1,33,8
E-00115,2024-06-30,3.9,3.9,3.7,5.0,3.1,3.6,3.5,36,3
E-00116,2024-06-30,4.2,4.1,3.4,4.4,3.4,4.0,3.3,44,5
E-00117,2024-06-30,4.0,4.2,3.7,4.3,3.4,4.0,4.1,43,2
E-00118,2024-06-30,3.4,4.2,2.9,3.9,3.2,4.2,3.7,66,3
E-00119,2024-06-30,4.6,3.6,3.8,3.5,2.7,3.3,3.8,94,8
E-00120,2024-06-30,4.4,3.4,2.6,4.2,3.6,4.1,3.7,54,5
E-00121,2024-06-30,4.4,5.3,2.9,4.6,3.6,3.8,4.0,22,4
E-00122,2024-06-30,3.5,3.8,3.3,4.1,2.9,4.2,4.1,82,7
E-00123,2024-06-30,4.7,4.3,4.7,4.4,2.5,4.0,3.8,80,8
E-00124,2024-06-30,3.3,3.2,4.0,4.8,2.6,3.9,3.2,53,8
E-00125,2024-06-30,4.3,3.9,4.3,4.8,3.8,3.9,3.9,38,4
E-00126,2024-06-30,5.1,3.9,4.5,4.4,3.6,4.1,3.7,32,9
E-00127,2024-06-30,3.5,4.2,6.0,4.3,3.0,4.3,4.1,71,3
E-00128,2024-06-30,3.7,2.6,3.5,3.6,2.9,3.7,3.4,91,5
E-00129,2024-06-30,4.0,4.1,4.5,3.9,1.9,3.9,3.7,97,5
E-00130,2024-06-30,3.7,3.4,4.2,4.1,2.9,4.4,3.2,57,5
E-00131,2024-06-30,3.2,4.2,4.2,3.9,2.3,3.9,4.1,71,1
E-00132,2024-06-30,4.0,3.5,4.7,4.3,3.1,4.1,4.3,14,1
E-00133,2024-06-30,3.5,3.6,3.2,5.0,3.7,3.6,3.6,33,1
E-00134,2024-06-30,4.2,3.9,3.2,4.8,2.4,3.5,3.7,94,6
E-00135,2024-06-30,3.5,3.5,3.7,4.3,3.1,3.7,3.5,42,3
E-00136,2024-06-30,4.8,3.8,3.4,4.5,3.6,3.8,3.5,19,6
E-00137,2024-06-30,3.6,3.4,3.7,3.9,3.1,4.3,4.1,30,5
E-00138,2024-06-30,3.8,3.1,4.6,4.8,2.7,4.3,3.6,27,9
E-00139,2024-06-30,4.4,4.5,3.2,3.6,3.0,3.4,4.0,39,8
E-00140,2024-06-30,3.4,3.4,3.3,4.6,3.6,3.8,3.8,42,3
E-00141,2024-06-30,4.1,3.9,3.6,4.4,3.2,4.2,4.1,61,4
E-00142,2024-06-30,4.7,4.4,3.3,3.9,3.0,4.0,3.6,22,8
E-00143,2024-06-30,3.2,3.7,2.2,4.1,3.7,4.5,4.2,14,12
E-00144,2024-06-30,4.1,3.6,3.1,3.7,3.3,4.2,4.6,73,9
E-00145,2024-06-30,4.1,4.1,4.0,3.8,2.3,3.9,3.1,59,3
E-00146,2024-06-30,4.4,4.6,4.5,3.6,3.4,3.9,3.8,15,8
E-00147,2024-06-30,3.4,3.4,2.7,4.5,3.6,4.0,3.8,93,5
E-00148,2024-06-30,3.3,3.9,2.7,4.7,2.3,3.7,3.5,46,6
E-00149,2024-06-30,4.3,3.1,3.5,3.3,1.6,4.3,4.0,85,4
E-00150,2024-06-30,4.1,3.8,2.0,4.9,2.4,4.2,4.2,21,8
E-00151,2024-06-30,4.1,4.0,3.2,4.2,2.9,4.1,3.0,67,6
E-00152,2024-06-30,4.2,3.6,2.3,4.3,3.6,4.1,3.0,67,3
E-00153,2024-06-30,3.7,3.8,4.5,3.6,2.5,3.7,4.5,22,5
E-00154,2024-06-30,4.1,3.3,3.0,4.7,3.3,4.2,3.7,14,4
E-00155,2024-06-30,4.1,4.0,4.7,4.3,1.3,4.0,3.8,93,6
E-00156,2024-06-30,3.6,4.5,4.3,4.7,3.1,4.6,3.4,26,3
E-00157,2024-06-30,4.9,3.5,3.0,4.7,2.8,3.6,3.8,94,7
E-00158,2024-06-30,4.2,3.7,2.7,4.7,4.3,3.8,4.3,77,8
E-00159,2024-06-30,3.4,4.3,3.4,3.9,1.9,3.5,4.0,95,3
E-00160,2024-06-30,4.3,4.6,3.4,4.1,3.0,3.9,3.9,16,1
E-00161,2024-06-30,3.5,3.3,3.7,4.0,1.9,3.5,3.1,45,7
E-00162,2024-06-30,4.4,3.9,3.0,4.6,2.7,4.4,4.1,87,2
E-00163,2024-06-30,4.6,4.1,4.0,4.3,2.0,4.3,3.8,88,6
E-00164,2024-06-30,3.6,3.9,3.7,4.6,4.4,4.0,3.6,92,3
E-00165,2024-06-30,4.5,2.8,3.3,4.6,2.8,3.7,4.1,27,4
E-00166,2024-06-30,4.2,4.3,3.0,3.5,2.9,3.5,3.5,82,4
E-00167,2024-06-30,4.4,4.8,3.4,4.7,3.0,3.8,4.0,89,2
E-00168,2024-06-30,4.9,4.1,2.9,4.6,2.3,4.2,4.3,70,3
E-00169,2024-06-30,3.9,3.5,3.5,4.1,3.6,3.8,3.9,93,6
E-00170,2024-06-30,3.6,3.7,3.6,4.3,3.4,4.6,3.6,96,1
E-00171,2024-06-30,3.6,4.9,3.7,4.2,3.6,4.4,3.6,47,5
E-00172,2024-06-30,3.6,4.5,4.7,4.4,2.3,4.0,4.0,73,5
E-00173,2024-06-30,4.0,4.3,3.4,4.1,3.7,3.9,3.6,59,5
E-00174,2024-06-30,4.2,4.2,4.2,4.4,3.6,3.8,4.7,45,4
E-00175,2024-06-30,4.1,3.7,3.7,4.2,2.9,4.5,3.2,15,5
E-00176,2024-06-30,4.4,3.9,3.3,4.0,3.5,3.8,3.7,62,4
E-00177,2024-06-30,4.0,4.0,3.4,4.3,3.2,4.3,3.9,85,1
E-00178,2024-06-30,4.7,4.3,3.5,5.3,2.0,4.0,3.9,68,1
E-00179,2024-06-30,3.9,4.8,3.7,3.9,2.9,4.2,3.6,64,3
E-00180,2024-06-30,5.4,4.6,2.8,4.1,2.7,3.8,4.3,31,3
E-00181,2024-06-30,4.3,3.3,2.5,3.9,3.1,3.9,4.1,46,7
E-00182,2024-06-30,3.6,4.1,4.0,4.0,3.6,4.0,4.1,89,4
E-00183,2024-06-30,3.5,4.4,4.1,4.5,2.0,3.8,3.5,33,6
E-00184,2024-06-30,4.2,4.3,4.0,4.5,2.7,4.4,3.6,33,6
E-00185,2024-06-30,3.9,3.7,3.6,4.2,2.5,3.8,4.0,19,7
E-00186,2024-06-30,4.4,5.5,4.0,4.6,2.5,3.8,3.4,86,4
E-00187,2024-06-30,4.2,3.4,4.0,4.5,2.5,4.4,4.1,19,4
E-00188,2024-06-30,4.0,3.5,4.1,4.1,3.0,4.3,3.8,67,5
E-00189,2024-06-30,3.6,4.1,2.9,3.6,3.3,4.5,4.2,99,2
E-00190,2024-06-30,3.2,5.1,2.7,4.5,3.2,3.4,3.6,14,2
E-00191,2024-06-30,3.8,3.6,3.2,4.3,3.1,4.1,4.5,58,3
E-00192,2024-06-30,4.4,3.9,3.5,4.2,3.4,4.0,4.0,28,2
E-00193,2024-06-30,4.1,4.5,3.3,4.0,4.4,3.8,4.0,61,4
E-00194,2024-06-30,3.4,4.0,2.2,4.5,3.1,4.1,3.5,90,8
E-00195,2024-06-30,4.1,3.8,4.7,4.3,3.6,3.9,3.9,74,8
E-00196,2024-06-30,4.2,4.3,3.3,4.1,3.6,4.0,3.6,48,5
E-00197,2024-06-30,3.6,4.1,3.6,3.7,4.1,5.0,3.2,10,3
E-00198,2024-06-30,4.1,4.5,4.4,4.6,3.3,4.1,3.7,84,5
E-00199,2024-06-30,4.0,4.6,1.9,4.4,2.5,4.1,4.3,90,3
E-00200,2024-06-30,3.4,4.2,3.1,4.3,3.2,4.2,3.8,31,5
E-00201,2024-06-30,4.2,4.1,3.2,3.1,3.2,4.1,3.7,87,3
E-00202,2024-06-30,4.3,4.1,3.3,4.2,3.5,3.7,3.7,32,10
E-00203,2024-06-30,4.5,4.2,3.4,4.1,2.5,3.5,4.7,91,5
E-00204,2024-06-30,4.5,4.0,4.5,4.0,3.8,4.0,4.0,28,8
E-00205,2024-06-30,3.3,4.0,4.0,4.5,3.0,3.9,3.2,36,2
E-00206,2024-06-30,3.5,4.6,4.2,4.5,3.5,3.4,3.6,27,3
E-00207,2024-06-30,4.3,4.8,3.5,4.4,3.2,4.5,3.6,63,7
E-00208,2024-06-30,4.3,3.2,2.5,4.6,3.1,4.0,3.5,26,6
E-00209,2024-06-30,4.3,4.0,2.0,3.8,3.1,4.4,3.8,64,4
E-00210,2024-06-30,5.9,3.7,2.4,4.0,3.4,3.3,3.6,99,4
E-00211,2024-06-30,4.3,3.8,3.8,4.2,4.2,4.4,3.6,39,8
E-00212,2024-06-30,4.6,4.2,3.5,4.0,1.8,3.9,3.9,89,7
E-00213,2024-06-30,4.5,4.3,3.4,4.5,3.3,4.4,3.2,62,3
E-00214,2024-06-30,4.3,3.9,3.2,4.0,3.0,4.1,2.9,90,6
E-00215,2024-06-30,3.8,3.0,4.9,4.7,2.9,4.1,4.3,19,2
E-00216,2024-06-30,4.4,3.5,2.9,3.8,1.6,4.1,4.1,39,1
E-00217,2024-06-30,3.6,4.4,4.1,5.1,3.3,3.9,3.9,35,9
E-00218,2024-06-30,3.9,2.6,3.5,5.0,2.9,3.8,3.9,80,4
E-00219,2024-06-30,3.8,4.6,3.5,4.2,2.5,3.9,3.7,78,6
E-00220,2024-06-30,4.0,4.3,4.3,4.7,3.0,3.6,5.0,30,13
E-00221,2024-06-30,5.2,4.7,4.5,4.0,2.8,3.9,3.9,65,5
E-00222,2024-06-30,3.1,3.9,3.3,4.6,2.0,3.8,4.8,17,6
E-00223,2024-06-30,4.3,3.0,4.1,4.1,3.1,3.6,4.6,38,6
E-00224,2024-06-30,3.2,4.2,3.8,3.7,3.3,4.1,4.0,41,5
E-00225,2024-06-30,3.8,4.6,3.5,2.8,2.7,4.0,3.7,73,6
E-00226,2024-06-30,4.5,4.5,3.6,4.1,3.2,4.1,3.8,97,5
E-00227,2024-06-30,4.0,3.7,3.0,4.3,3.1,4.2,3.6,53,5
E-00228,2024-06-30,3.5,4.0,3.3,4.7,3.6,3.9,4.0,76,4
E-00229,2024-06-30,3.6,3.7,3.1,4.2,2.9,3.7,4.1,65,4
E-00230,2024-06-30,4.3,3.6,4.1,4.6,3.5,4.1,3.3,77,1
E-00231,2024-06-30,3.6,4.5,3.4,4.0,2.8,3.1,4.8,20,6
E-00232,2024-06-30,4.1,3.4,2.6,4.1,4.2,4.0,3.5,46,4
E-00233,2024-06-30,4.0,3.6,3.0,4.6,2.7,4.2,2.7,17,3
E-00234,2024-06-30,3.7,3.4,1.3,3.2,2.6,4.3,3.8,67,5
E-00235,2024-06-30,5.1,3.3,3.2,4.2,2.9,3.8,3.3,11,1
E-00236,2024-06-30,4.3,4.1,3.5,4.0,2.6,3.3,3.8,15,9
E-00237,2024-06-30,3.0,4.6,3.4,4.7,2.3,3.2,3.8,41,5
E-00238,2024-06-30,4.1,3.9,4.9,4.0,3.4,4.2,4.0,28,5
E-00239,2024-06-30,3.7,3.2,3.9,4.4,1.2,3.9,4.2,27,4
E-00240,2024-06-30,4.4,4.4,3.9,4.6,2.6,4.6,3.4,98,7
E-00241,2024-06-30,3.6,4.8,2.3,3.6,2.2,3.6,3.7,49,8
E-00242,2024-06-30,3.9,3.7,3.2,4.1,3.1,4.1,4.1,69,5
E-00243,2024-06-30,4.3,3.8,3.2,4.0,1.7,4.5,3.5,49,7
E-00244,2024-06-30,4.4,4.3,2.9,4.6,3.3,4.1,3.0,90,2
E-00245,2024-06-30,3.4,4.8,2.9,4.5,3.4,3.5,4.0,75,6
E-00246,2024-06-30,3.8,3.7,2.2,4.1,2.0,4.8,3.6,31,3
E-00247,2024-06-30,3.8,3.3,2.6,3.8,3.1,4.5,3.5,46,1
E-00248,2024-06-30,3.7,4.3,4.1,4.6,3.3,3.9,3.8,42,1
E-00249,2024-06-30,4.9,4.4,3.4,4.2,3.6,4.2,3.8,29,1
E-00250,2024-06-30,4.2,4.0,3.1,3.6,2.1,4.2,4.2,49,3
E-00251,2024-06-30,3.4,3.7,3.5,3.6,2.0,4.2,3.3,21,1
E-00252,2024-06-30,4.5,4.5,4.3,4.4,3.9,3.6,4.7,58,5
E-00253,2024-06-30,5.1,4.3,3.5,3.7,2.5,4.1,3.2,43,5
E-00254,2024-06-30,4.5,3.6,3.9,4.9,2.7,4.4,3.6,62,5
E-00255,2024-06-30,3.2,4.0,2.9,3.8,3.4,4.2,3.5,69,3
E-00256,2024-06-30,3.8,3.3,3.1,4.2,2.3,4.1,3.8,75,2
E-00257,2024-06-30,4.6,4.3,3.7,4.3,2.8,3.8,3.8,37,6
E-00258,2024-06-30,3.6,3.9,4.8,3.9,3.5,3.7,3.9,92,6
E-00259,2024-06-30,4.2,3.8,4.5,3.3,2.1,3.5,3.9,65,7
E-00260,2024-06-30,4.4,4.0,3.9,4.3,2.7,4.2,4.3,61,8
E-00261,2024-06-30,3.5,4.0,3.6,3.9,2.3,3.9,3.9,20,5
E-00262,2024-06-30,4.0,4.4,4.5,4.2,2.5,3.6,4.4,52,2
E-00263,2024-06-30,2.4,4.3,4.1,4.2,3.7,4.3,3.1,57,3
E-00264,2024-06-30,3.5,3.9,1.9,4.3,3.8,3.8,2.9,67,4
E-00265,2024-06-30,3.9,4.4,2.8,4.8,3.2,3.7,3.9,66,6
E-00266,2024-06-30,3.4,4.2,3.7,4.0,3.3,3.9,3.9,23,4
E-00267,2024-06-30,4.8,3.8,2.2,4.0,3.3,3.9,3.6,97,11
E-00268,2024-06-30,3.3,3.9,2.9,3.5,2.6,4.1,3.8,63,0
E-00269,2024-06-30,3.8,3.9,3.0,4.1,3.1,3.7,4.2,11,5
E-00270,2024-06-30,4.1,4.3,3.3,4.4,2.2,4.3,4.1,51,6
E-00271,2024-06-30,4.7,3.8,3.3,4.0,2.4,4.1,3.7,16,4
E-00272,2024-06-30,3.3,3.8,3.3,4.4,2.9,3.8,3.9,18,3
E-00273,2024-06-30,4.6,5.0,4.1,4.1,2.4,4.0,4.1,42,4
E-00274,2024-06-30,4.0,4.5,3.3,3.7,2.2,3.9,3.3,77,1
E-00275,2024-06-30,3.5,3.6,3.2,4.3,2.6,4.0,3.5,73,6
E-00276,2024-06-30,4.2,4.3,2.6,4.1,3.7,4.5,4.2,72,2
E-00277,2024-06-30,4.1,4.1,4.2,4.2,3.9,3.9,3.1,17,4
E-00278,2024-06-30,3.7,4.2,3.0,4.0,3.0,4.1,3.4,68,3
E-00279,2024-06-30,4.0,4.1,2.7,3.9,3.3,3.8,3.3,18,7
E-00280,2024-06-30,3.8,4.6,3.6,4.3,2.7,4.2,4.2,21,4
E-00281,2024-06-30,4.1,4.2,3.0,4.1,1.8,4.1,3.4,67,4
E-00282,2024-06-30,4.3,4.0,3.1,4.9,2.5,4.4,4.1,58,6
E-00283,2024-06-30,4.8,4.5,3.7,4.5,2.8,3.8,3.7,53,3
E-00284,2024-06-30,3.4,4.1,3.3,4.4,3.1,4.2,4.5,20,6
E-00285,2024-06-30,5.1,4.1,5.1,4.1,2.9,4.4,3.9,25,2
E-00286,2024-06-30,3.0,4.2,3.4,3.4,2.8,3.9,4.2,75,4
E-00287,2024-06-30,3.9,4.0,3.9,3.9,2.7,4.0,4.0,47,4
E-00288,2024-06-30,4.3,4.0,2.1,3.9,3.2,4.1,3.6,52,5
E-00289,2024-06-30,4.1,3.7,2.9,4.1,2.2,3.9,3.8,76,7
E-00290,2024-06-30,3.7,3.6,2.7,4.2,3.5,4.1,3.8,82,4
E-00291,2024-06-30,3.9,3.5,2.8,4.5,2.6,4.2,3.6,68,6
E-00292,2024-06-30,3.8,3.3,3.8,4.3,4.2,4.0,4.2,16,5
E-00293,2024-06-30,3.7,3.6,4.2,4.7,2.8,4.0,4.8,35,5
E-00294,2024-06-30,4.4,3.9,3.7,4.1,2.7,4.1,3.8,85,3
E-00295,2024-06-30,4.2,4.1,3.3,4.3,2.7,3.9,4.1,89,4
E-00296,2024-06-30,3.7,3.9,3.1,4.3,2.7,3.9,4.0,40,4
E-00297,2024-06-30,4.4,2.8,4.3,4.3,3.4,3.7,2.8,33,5
E-00298,2024-06-30,4.2,4.8,4.9,4.7,3.0,4.0,4.0,74,6
E-00299,2024-06-30,4.4,4.5,3.6,4.5,3.6,4.1,4.0,65,4
E-00300,2024-06-30,4.3,4.2,4.2,3.7,3.3,3.9,3.3,72,5
E-00301,2024-06-30,3.6,5.0,3.7,4.2,3.0,3.8,3.1,35,8
E-00302,2024-06-30,3.7,3.5,4.0,4.2,3.2,4.0,4.0,67,4
E-00303,2024-06-30,4.4,4.9,2.7,5.1,3.7,4.1,4.5,36,7
E-00304,2024-06-30,4.3,3.5,3.2,4.1,3.4,4.0,3.7,78,5
E-00305,2024-06-30,4.0,4.1,3.8,3.8,3.2,4.7,3.7,47,5
E-00306,2024-06-30,4.1,3.4,4.3,4.4,3.3,3.8,4.7,56,3
E-00307,2024-06-30,4.6,4.0,2.9,4.4,2.3,4.0,4.2,30,3
E-00308,2024-06-30,3.7,4.2,2.1,4.2,4.5,4.2,3.3,88,5
E-00309,2024-06-30,4.3,3.9,3.2,4.1,3.3,3.8,3.5,21,8
E-00310,2024-06-30,3.9,4.4,4.2,4.6,3.4,4.6,4.7,84,9
E-00311,2024-06-30,3.9,4.0,2.4,3.9,3.0,4.0,3.5,34,4
E-00312,2024-06-30,4.5,3.7,2.7,4.1,1.6,4.2,3.6,77,2
E-00313,2024-06-30,4.4,3.7,3.6,4.0,2.8,4.0,4.1,95,3
